report_num,date,crime,location,address,city,state,lat,long,status
133006,10/31/13 0:00,HARASSMENT/INTIMIDATION,IU PRESS WAREHOUSE, ,Bloomington,Indiana,,,INACTIVE
132998,10/31/13 0:00,HARASSMENT/INTIMIDATION,ALPHA EPSILON PHI, ,Bloomington,Indiana,,,Closed No Arrest
132971,10/29/13 0:00,HARASSMENT/INTIMIDATION,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
132969,10/29/13 0:00,HARASSMENT/INTIMIDATION,BRISCOE QUAD, ,Bloomington,Indiana,,,INACTIVE
132962,10/28/13 0:00,HARASSMENT/INTIMIDATION,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,ACT/80
132902,10/23/13 0:00,HARASSMENT/INTIMIDATION,JORDAN HALL, ,Bloomington,Indiana,,,INACTIVE
132820,10/16/13 0:00,HARASSMENT/INTIMIDATION,MCNUTT QUAD, ,Bloomington,Indiana,,,INACTIVE
132813,10/15/13 0:00,HARASSMENT/INTIMIDATION,Spruce Hall, ,Bloomington,Indiana,,,INACTIVE
132812,10/15/13 0:00,HARASSMENT/INTIMIDATION,FOREST QUAD, ,Bloomington,Indiana,,,INACTIVE
132775,10/11/13 0:00,HARASSMENT/INTIMIDATION,NELSON BUILDING, ,Bloomington,Indiana,,,ACT/80
132753,10/9/13 0:00,HARASSMENT/INTIMIDATION,STUDENT BUILDING, ,Bloomington,Indiana,,,INACTIVE
132736,10/8/13 0:00,HARASSMENT/INTIMIDATION,BRISCOE QUAD, ,Bloomington,Indiana,,,INACTIVE
132730,10/7/13 0:00,HARASSMENT/INTIMIDATION,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed No Arrest
132630,10/1/13 0:00,HARASSMENT/INTIMIDATION,Spruce Hall, ,Bloomington,Indiana,,,INACTIVE
132554,9/25/13 0:00,HARASSMENT/INTIMIDATION,TETER QUAD, ,Bloomington,Indiana,,,Closed No Arrest
132549,9/25/13 0:00,HARASSMENT/INTIMIDATION,LAW SCHOOL, ,Bloomington,Indiana,,,ACT/44
132455,9/18/13 0:00,HARASSMENT/INTIMIDATION,WRIGHT QUAD, ,Bloomington,Indiana,,,INACTIVE
132436,9/16/13 0:00,HARASSMENT/INTIMIDATION,Midwest Proton RadiationTherapy, ,Bloomington,Indiana,,,ACT/44
133352,11/22/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,READ CENTER, ,Bloomington,Indiana,,,Closed By Arrest
133351,11/22/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,FOSTER HARPER HALL, ,Bloomington,Indiana,,,Closed By Arrest
133329,11/21/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,Spruce Hall, ,Bloomington,Indiana,,,Closed By Arrest
133316,11/20/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,FOSTER COMMON AREA, ,Bloomington,Indiana,,,Closed By Arrest
133273,11/16/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,UNION STREET/SOUTH OF 10TH, ,Bloomington,Indiana,,,Closed No Arrest
133267,11/16/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,ARMSTRONG STADIUM, ,Bloomington,Indiana,,,Closed By Arrest
133266,11/16/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,FOREST QUAD COMMON AREA, ,Bloomington,Indiana,,,Closed By Arrest
133265,11/16/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD, ,Bloomington,Indiana,,,Closed By Arrest
133263,11/16/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,EIGENMANN HALL, ,Bloomington,Indiana,,,Closed By Arrest
133261,11/15/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD, ,Bloomington,Indiana,,,Closed By Arrest
133252,11/15/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,BRISCOE QUAD, ,Bloomington,Indiana,,,Closed By Arrest
133182,11/10/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD, ,Bloomington,Indiana,,,Closed By Arrest
133180,11/10/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,FOSTER SHEA HALL, ,Bloomington,Indiana,,,Closed By Arrest
133178,11/9/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MEMORIAL STADIUM, ,Bloomington,Indiana,,,Closed By Arrest
133170,11/9/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,WOODLAWN AVENUE/NORTH OF, ,Bloomington,Indiana,,,Closed By Arrest
133168,11/9/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,ATHLETIC/BLUE LOT, ,Bloomington,Indiana,,,Closed By Arrest
133166,11/9/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,WOODLAWN AVENUE/NORTH OF, ,Bloomington,Indiana,,,Closed By Arrest
